Filename,Shape
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P053@cine_sax.h5,[ 12  11  10 446 198]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P006@T2map.h5,[  3   3  10 380 149]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P060@T1rho.h5,[ 16   3  10 382 137]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P040@T2w.h5,[ 11  10 516 201]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P017@lge_sax.h5,[  2  10  10 382 170]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P034@T1mappost.h5,[  9   3  10 512 161]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P018@cine_ot.h5,[ 12   1  10 384 171]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P007@lge_lax.h5,[  2   3  10 512 170]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P016@T1map.h5,[  8   3  10 382 149]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P001@cine_lax.h5,[ 12   3  10 450 160]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P026@T2w.h5,[ 11  10 512 248]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P003@lge_sax.h5,[  2  14  10 514 147]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P013@cine_ot.h5,[ 12   1  10 440 298]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P018@lge_lax_2ch.h5,[  2   1  10 382 170]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P012@lge_sax.h5,[  2  10  10 512 149]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P039@lge_sax.h5,[  2  11  10 510 199]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P020@cine_lax_2ch.h5,[ 12   1  10 384 205]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P016@T2w.h5,[ 10  10 514 185]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P024@cine_lax_3ch.h5,[ 12   1  10 438 198]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P026@T1rho.h5,[  4   3  10 386 137]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P030@cine_lax_4ch.h5,[ 12   1  10 444 198]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P015@T2map.h5,[  3   3  10 384 149]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P001@cine_lax_2ch.h5,[ 12   1  10 440 212]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P001@cine_lax_3ch.h5,[ 12   1  10 446 189]
Mapping@TrainingSet@FullSample@Center006@UIH_30T_umr790@P007@T1map.h5,[  3   1  10 390 149]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P007@cine_lax.h5,[ 12   3  10 442 202]
T1rho@TrainingSet@FullSample@Center002@UIH_30T_umr880@P005@T1rho.h5,[  4   3  10 384 157]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P005@T2map.h5,[  3   3  10 382 149]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P014@lge_lax_2ch.h5,[  2   1  10 382 170]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P013@cine_sax.h5,[ 12  10  10 454 202]
T1w@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P011@T1w.h5,[  8  10 512 207]
Mapping@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@T2map.h5,[  3   5  10 382 157]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P037@cine_lax_4ch.h5,[ 12   1  10 444 198]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@lge_sax.h5,[  2   9  10 380 170]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P018@T1rho.h5,[  4   3  10 384 137]
T1w@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P002@T1w.h5,[ 11  10 512 238]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P001@flow2d.h5,[  2  24  10 388 119]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P043@T1map.h5,[  8   3  10 514 161]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P013@T2w.h5,[  9  10 512 228]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P008@cine_lax_3ch.h5,[ 12   1  10 444 198]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P037@cine_sax.h5,[ 12  11  10 450 198]
Mapping@TrainingSet@FullSample@Center003@UIH_30T_umr880@P019@T2map.h5,[  3   3  10 386 177]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P022@cine_sax.h5,[ 12  12  10 416 120]
Mapping@TrainingSet@FullSample@Center003@UIH_30T_umr880@P004@T2map.h5,[  3   3  10 384 177]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P030@flow2d.h5,[  2  21  10 390 119]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P010@cine_lax_2ch.h5,[ 12   1  10 456 189]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@T2map.h5,[  3   3  10 386 149]
Mapping@TrainingSet@FullSample@Center002@UIH_30T_umr880@P005@T2map.h5,[  3   5  10 382 157]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P004@T1map.h5,[  8   3  10 510 161]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P001@cine_lax.h5,[ 12   3  10 416 166]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P013@cine_lax_2ch.h5,[ 12   1  10 382 205]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P039@T1map.h5,[  8   6  10 512 142]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P051@T1mappost.h5,[  9   3  10 512 161]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P008@lge_lax.h5,[  2   2  10 512 159]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P053@cine_lax_3ch.h5,[ 12   1  10 444 198]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@lge_lax_4ch.h5,[  2   1  10 506 175]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P003@cine_lax.h5,[ 12   3  10 448 162]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P008@T2map.h5,[  3   3  10 384 106]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P012@cine_lax.h5,[ 12   3  10 416 166]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P001@cine_lax_r2ch.h5,[ 12   1  10 452 246]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P036@T1map.h5,[  8   3  10 510 161]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P033@T1map.h5,[  8   3  10 512 161]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P006@T2w.h5,[  9  10 514 185]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P014@T1mappost.h5,[  9   3  10 382 149]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P017@T1rho.h5,[  4   3  10 382 137]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P042@T2w.h5,[ 13  10 512 248]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P032@cine_sax.h5,[ 12  12  10 416 120]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P002@T1map.h5,[  8   3  10 384 149]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P025@cine_sax.h5,[ 12  10  10 450 308]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P008@T2w.h5,[ 11  10 512 286]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P001@cine_lax_2ch.h5,[ 12   1  10 452 189]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P050@cine_lax_3ch.h5,[ 12   1  10 446 198]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P017@cine_lax_3ch.h5,[ 12   1  10 448 198]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P035@flow2d.h5,[  2  19  10 382 119]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P006@T1map.h5,[  8   3  10 378 149]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P033@lge_lax_2ch.h5,[  2   3  10 514 175]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P024@T1map.h5,[  8   7  10 514 149]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P010@lge_lax_2ch.h5,[  2   1  10 380 170]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P007@cine_sax.h5,[ 12  12  10 450 160]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P032@cine_sax.h5,[ 12  11  10 448 198]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P013@T2map.h5,[  3   3  10 388 106]
Mapping@TrainingSet@FullSample@Center003@UIH_30T_umr880@P008@T2map.h5,[  3   3  10 388 177]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P020@T1mappost.h5,[  9   3  10 384 149]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P028@cine_lax_4ch.h5,[ 12   1  10 446 198]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P061@perfusion.h5,[ 50   4  10 384 131]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P006@cine_sax.h5,[ 12  12  10 456 198]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P009@cine_lax_2ch.h5,[ 12   1  10 448 212]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P007@lge_lax.h5,[  2   2  10 510 180]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P013@cine_lax_3ch.h5,[ 12   1  10 444 198]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P004@cine_lax_3ch.h5,[ 12   1  10 438 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@T1map.h5,[  8   3  10 510 161]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P035@T1mappost.h5,[  9   3  10 514 161]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P004@cine_sax.h5,[ 12   9  10 448 162]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P030@T1rho.h5,[  4   3  10 386 137]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P021@cine_lax_2ch.h5,[ 12   1  10 384 205]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P004@cine_lax_3ch.h5,[ 12   1  10 444 224]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P041@T2map.h5,[  3   3  10 380 157]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P002@cine_lax_2ch.h5,[ 12   1  10 450 212]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@T2map.h5,[  3   3  10 384 149]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P004@cine_sax.h5,[ 12   2  10 450 198]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@lge_lax_3ch.h5,[  2   1  10 510 175]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@lge_lax_4ch.h5,[  2   1  10 508 211]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P019@cine_sax.h5,[ 12  11  10 444 198]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P024@flow2d.h5,[  2  17  10 388 151]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@T1mappost.h5,[  9   3  10 382 149]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P008@cine_sax.h5,[ 12  10  10 454 278]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P017@cine_lax_2ch.h5,[ 12   1  10 456 198]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P011@T1w.h5,[ 10  10 512 248]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P002@lge_lax.h5,[  2   2  10 512 171]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P006@T2map.h5,[  3   3  10 384 157]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P036@T1map.h5,[  8   6  10 512 117]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P051@T1map.h5,[  8   3  10 510 161]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P002@cine_ot.h5,[ 12   1  10 388 171]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P026@T2map.h5,[  3   1  10 384 101]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P009@lge_sax.h5,[  2   9  10 510 187]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P005@lge_sax.h5,[  2  10  10 380 170]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P004@cine_lax_4ch.h5,[ 12   1  10 320 121]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P008@cine_lax.h5,[ 12   3  10 450 192]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P023@lge_lax_2ch.h5,[  2   1  10 384 170]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P006@cine_lax.h5,[ 12   3  10 412 130]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P012@lge_sax.h5,[  2  10  10 510 200]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P029@blackblood.h5,[  8  10 512  98]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P028@cine_sax.h5,[ 12   1  10 452 198]
Mapping@TrainingSet@FullSample@Center006@UIH_30T_umr790@P004@T2map.h5,[  3   3  10 382 149]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P002@T2w.h5,[  9  10 512 228]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P030@T1map.h5,[  8   3  10 512 161]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P003@T1w.h5,[ 10  10 512 246]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P010@T1map.h5,[  8   3  10 508 161]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P003@cine_sax.h5,[ 12   9  10 446 212]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P003@cine_lax_4ch.h5,[ 12   1  10 320 120]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P034@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P022@cine_rvot.h5,[ 12   1  10 418 166]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@T1map.h5,[  8   3  10 510 161]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P005@T1map.h5,[  8   3  10 510 161]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P042@cine_sax.h5,[ 12  15  10 418 162]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P019@cine_sax.h5,[ 12   9  10 446 278]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P008@cine_lax_2ch.h5,[ 12   1  10 448 212]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P008@cine_lax_3ch.h5,[ 12   1  10 450 212]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P019@T1map.h5,[  8   3  10 384 149]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P007@lge_sax.h5,[  2   7  10 508 151]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P013@T1map.h5,[  8   3  10 514 161]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Prisma@P004@cine_lax_4ch.h5,[ 12   1  10 384 165]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P020@cine_sax.h5,[ 12   9  10 450 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P034@T2map.h5,[  3   3  10 384 157]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P017@cine_lax_3ch.h5,[ 12   1  10 448 198]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@cine_lax_2ch.h5,[ 12   1  10 384 205]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P014@flow2d.h5,[  2  20  10 382 119]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@cine_ot.h5,[ 12   1  10 380 171]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P025@cine_lax_2ch.h5,[ 12   1  10 442 198]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P025@T1w.h5,[ 10  10 512 324]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@lge_sax.h5,[  2   9  10 504 175]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P006@cine_rvot.h5,[ 12   1  10 448 224]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P019@lge_sax.h5,[  2   7  10 510 182]
Mapping@TrainingSet@FullSample@Center006@UIH_30T_umr790@P009@T2map.h5,[  3   3  10 396 149]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P034@lge_sax.h5,[  2   5  10 512 199]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P010@T1map.h5,[  8   3  10 384 149]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@lge_lax_2ch.h5,[  2   1  10 510 175]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P009@T1map.h5,[  8   3  10 512 173]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P002@T2smap.h5,[  8   1  10 510  98]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P004@T1mappost.h5,[  9   3  10 384 149]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P007@cine_lax_2ch.h5,[ 12   1  10 388 205]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P019@cine_sax.h5,[ 12  12  10 412 120]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P020@cine_lax.h5,[ 12   3  10 414 166]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P053@T1map.h5,[  8   3  10 508 161]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P008@lge_sax.h5,[  2  10  10 512 180]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@perfusion.h5,[ 50   4  10 382 145]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@T1map.h5,[  8   3  10 504 161]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P009@T2map.h5,[  3   3  10 384  85]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P055@T2smap.h5,[  8   3  10 424 141]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@T1map.h5,[  8   3  10 508 161]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P016@T1map.h5,[  9   3  10 806 149]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Prisma@P015@cine_sax.h5,[ 12   1  10 384 144]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@lge_lax_2ch.h5,[  2   1  10 384 170]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P003@lge_lax_2ch.h5,[  2   1  10 512 175]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P015@cine_lax_4ch.h5,[ 12   1  10 384 144]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P018@lge_sax.h5,[  2   7  10 516 182]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P003@lge_lax_4ch.h5,[  2   1  10 516 175]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@T2map.h5,[  3   3  10 384 157]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P010@T2map.h5,[  3   3  10 384 149]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P016@cine_lax.h5,[ 12   3  10 446 192]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P013@cine_lax_4ch.h5,[ 12   1  10 384 144]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P053@lge_lax_4ch.h5,[  2   1  10 512 175]
